subject,day,ebr,left_ebr,right_ebr,ibi,left_ibi,right_ibi,ibi_var,left_ibi_var,right_ibi_var,onset_diff,offset_diff,duration_diff,bd,left_bd,right_bd,bdv,left_bdv,right_bdv,left_pupil_size,right_pupil_size,left_pupil_size_var,right_pupil_size_var,left_missing,right_missing,left_missing_exb,right_missing_exb
sub-015,d01,15.860275080417871,15.928044996121024,15.876468029578078,3.8245207383349933,3.8245207383349933,3.8245207383349933,2.281660784142456,2.423723304212105,2.2824229102897595,0.002754634562127952,,0.0208565188349894,0.1797948425475425,0.19801405325993635,0.18102772146792706,0.05351928201613981,0.06342749961908488,0.05446974903477755,2.622929005040701,2.6468607725283544,0.07153185442660638,0.0791197170709035,0.05789654403836075,0.05018584001493949,0.006090251380999138,0.0028613940711914843
sub-015,d02,25.827359931720768,24.59963473269639,24.437483263064152,2.3914755347041217,2.523116389825449,2.546494010701281,1.3887717741633787,1.3725506742067142,1.3601116691486428,0.002798161947343567,,0.014235457777723332,0.24419512392812287,0.25169668277482166,0.26418930128300316,0.0878854714136468,0.08769484356927178,0.08794553635779533,2.539789318153715,2.5732675521601793,0.1501131368120366,0.1731804874665265,0.12972556200756571,0.13618292653543118,0.03032310917283088,0.03276269185360094
sub-015,d03,30.8749733888872,29.858210093001983,30.302842748299486,1.9529287966358393,2.025259492807537,2.031913814562547,1.036231192262788,1.0243560005895547,1.0303112811796398,0.0042039805842576435,,0.019129355439804725,0.2541962468074268,0.2656127757279157,0.2571078727863109,0.0876612884349996,0.08609133380381023,0.08485191732383646,2.8151652866290457,2.9257442056859304,0.10873485369966687,0.1364589910991311,0.14214732683285253,0.1524581574208469,0.012430814447208186,0.02692138593944796
sub-017,d01,20.930232558139533,21.15543062085009,21.343177762022343,2.8903178492384063,2.860210371642173,2.860158288271691,1.2538838752950945,1.1858298411709378,1.1868384065917517,0.00719931784515586,,0.0237457213892431,0.189948052031923,0.19622007110637682,0.20975959965537336,0.03807391752972077,0.03768011407021689,0.04413093487892124,3.347167612022368,3.3611480201061132,0.30700396165423155,0.336905386221405,0.07386055589691691,0.08735436922446717,0.005650534330911676,0.014397416898591583
sub-017,d02,10.425087780687042,10.853965918547017,10.859531954172777,5.844915525172121,5.606347544552851,5.606517613217522,4.956675413262844,4.647864483193676,4.54523971921923,0.005476211002318525,,0.01738101752920445,0.15222279278981432,0.15266723890015782,0.1680006297067848,0.051821572520411835,0.05174851653665072,0.050287142838011244,3.144662799165685,3.092922719582623,0.2779301580781134,0.2935268860712508,0.029784674606038734,0.033062672921929506,0.002538193191386984,0.0030494406351497653
sub-017,d03,18.54185854864511,19.42783686438109,19.01662436702328,3.246138831559143,3.0983029748896858,3.17064723082521,1.9078162694316123,1.8714524400717685,1.8865307908850577,0.012394666099879388,,0.03990431141624115,0.1593533279666992,0.19790310208166406,0.15906168876420546,0.03168283248218882,0.04168850607135444,0.0302002369096338,3.040578672589934,3.019871778452763,0.3325821515411742,0.3561615598918042,0.06970622428634247,0.05739981085590714,0.006583901066796779,0.00790911445627097
sub-019,d01,30.898067031639865,30.553740757249187,30.8979017914209,1.9795927621285798,1.9939255599191696,1.9654528138276615,1.3072271695048672,1.249744126628693,1.2540067576952143,0.0031654683234657514,,0.021582738565458587,0.23772624283436536,0.2695084526422375,0.25489367315989875,0.07437818210306579,0.07996190232402517,0.08138703194217561,2.4953209787001978,2.5934342387521285,0.19922414450221032,0.20744758459127582,0.14802455229409744,0.13946498165806293,0.013468824730593387,0.010420870654707764
sub-019,d02,31.653053428171216,31.6724510351188,31.67321974661424,1.9061589948280218,1.906193717079077,1.9061589948280218,0.904265047962598,0.8888492563004197,0.890113099752007,0.003954026281757376,,0.018471279750770793,0.23355191863716002,0.25175883035117297,0.23595421948793327,0.06258524468648058,0.06328793092188814,0.0622330046319906,2.6422443243815783,2.7669546956603215,0.22037152219398787,0.23130994109802264,0.13838462928386436,0.13012708546648197,0.00733602361019093,0.007360115641751491
sub-019,d03,19.535394183281504,19.292369526825407,18.65774021840531,3.1141565887150064,3.1499514920335696,3.262509283585102,2.390886451528328,2.322345036656186,2.3147669435177143,0.004235306169338775,,0.03276479911577393,0.23138642620849137,0.24676206580651502,0.26676546497292025,0.07159180971680833,0.0700296654521646,0.08434444334283128,3.0262689200576895,3.1851533215857377,0.26926437823980554,0.2818615384606962,0.08962939781658863,0.09433564834318316,0.011747571646946956,0.012969270952444
sub-020,d01,15.05498019728912,15.416123626885124,22.155754957350172,3.9248740519622842,3.8671553159040153,2.656143718701905,3.5602839855964894,3.638721263795276,2.38828588035146,0.005984846088474363,,0.04797977879096641,0.13487739702738027,0.12893714649101679,0.16239993504044833,0.05622469309175131,0.04363878972949326,0.057878835009582644,3.2051126360999573,2.928253295668953,0.15560104735392977,0.13194123648812944,0.06136668854749444,0.07954784975700237,0.029635473438883234,0.021469307622356985
sub-020,d02,21.36472100987871,21.462372536112177,27.589420376932793,2.79438420777463,2.79438420777463,2.2109663516570173,3.7823093784014876,3.72151971889716,2.369414309801843,0.010468743417125856,,0.026319427894568054,0.14557282512896563,0.1481769901581155,0.1595332330172023,0.050785366756541425,0.05738616275594793,0.06096319284287209,3.0537858151652113,2.786877362183456,0.16601176127463704,0.14662912574095996,0.08092301020346701,0.08887978701617857,0.030092397393116574,0.017563937309513198
sub-020,d03,24.261853153858763,24.014540914682286,26.607216419899675,2.4915292335021975,2.4462643820012024,2.2649577054171535,2.2889443673143663,2.25412145464909,1.7709199906900621,0.004793648735254205,,0.01799999227334324,0.13022516932412415,0.12897547980350732,0.1385245306998707,0.027407569299469334,0.03917854423345791,0.027907587250464626,3.096020994990261,2.9761730435364107,0.12925451693174658,0.1236680415031966,0.06728536887563002,0.06743573396205989,0.017207780491032228,0.0071814365278897166
sub-021,d01,6.070533821545577,6.780469735875592,4.70020641118102,9.756864562063786,9.167138378760589,13.172350492879332,11.753574017070157,10.352875945454942,12.05449313795856,0.011666681864721796,,0.07583343212102137,0.15160734035513151,0.1477224146593926,0.1924605681775531,0.07075212133731065,0.05687303735383647,0.09973207096994205,2.3875710741675764,2.4059455022676643,0.26350602137761436,0.27486541152108546,0.05785700538876058,0.04710354118552733,0.04204556389530408,0.03264530408006159
sub-021,d02,3.909289993303531,4.143420502662329,4.8140336374522095,15.750271916868394,14.875349403414122,12.750140757717677,25.795115503722048,25.299493859977,23.698693943610994,0.016666746918034686,,0.04236862506015888,0.1959268693247193,0.2000009630158418,0.21977378549585905,0.07898549812056739,0.0904622138813879,0.09645699604714017,2.3330664280878137,2.3928297850880766,0.2444907436302281,0.2683734681900519,0.01945197229750075,0.026558265582655827,0.005835591689250226,0.009220114423366456
sub-021,d03,5.0326392181175015,4.919193550390679,5.253301554101709,11.843870270613644,12.40810218839726,11.328919389282616,28.06966123354041,28.59833365791744,27.602213443937217,0.00805556006525876,,0.007222226267913356,0.1365942794110869,0.14416674742229094,0.13472229768437197,0.05159881146963482,0.06426304906579655,0.04999925639587962,2.644385946776709,2.720295187693891,0.262651451663451,0.2665810791386331,0.041457082100925885,0.02078878092564592,0.03012596157900761,0.009246820840587219
sub-023,d01,11.355777979981802,10.760053302115892,9.932739412742112,5.368396371470369,5.825281169042315,6.2223836725637405,4.719306680341522,5.079185255730021,5.245473433168878,0.0035227471940247183,,0.01958344407859675,0.21605891412540446,0.21441093472098297,0.20389004189164553,0.09215831321726381,0.08016773330825835,0.07684403071967431,2.4239718881046572,2.654410919295842,0.29684270247771954,0.354746248998345,0.06958239719550172,0.05048819713406297,0.03267698275498587,0.01760039513549654
sub-023,d02,7.377582756708538,7.601076215870565,7.810098891761431,8.235896858244098,7.9936645977075065,7.8101788758385995,5.665874092551744,5.598490356806032,5.333356092806462,0.0039705823378693925,,0.011274493058301553,0.15911741072416,0.1654283257201314,0.16652753043682525,0.057079202031026316,0.056051682585134675,0.057245561473510016,2.8461670324164703,3.075815524958394,0.5299359037889545,0.6104382540776097,0.023837730243969908,0.023531038961819944,0.003157116139779062,0.0021167712022899616
sub-025,d01,1.0871863014526018,0.8730129860681677,1.3295253102225724,31.392098986019846,41.856131981359795,32.08034932918963,28.14694139735852,24.9664477070139,25.205669635867512,0.029166681211791,,0.0591666961699957,0.25100012515031267,0.22708344655984547,0.32305571663406835,0.10909023115952576,0.08873634992121641,0.11156890444121224,2.679024372475159,2.720646343602085,0.41290378468092465,0.4106344731732223,0.00990069196442014,0.028557835337761746,0.006642617540605484,0.02159001258664611
sub-025,d02,0.8694024669294999,0.8715388107126645,1.0909487617731553,74.31956857293942,74.31845745996786,56.175093823603675,52.943850524520585,52.498330633869706,46.515927423931394,0.00611112132416262,,0.027777824182218563,0.21833369798696367,0.27250045512846555,0.26600044427032116,0.09320691508520687,0.05911979840930667,0.12722966402127334,2.625676962064137,2.635844526912571,0.32689992648451743,0.3011500184047245,0.010194262344379623,0.01244361580561737,0.006284958200517231,0.007674264750105251
sub-025,d03,1.3027351406773018,1.3028215737602087,1.7439220079324231,37.46232517328663,37.462658506547314,26.7607084566946,37.43856354153147,37.474830293630255,35.60299025561205,0.009722220104549706,,0.01444444129818597,0.23444439337773323,0.254166611304034,0.26541660885359875,0.15082690582864003,0.14066225865559573,0.14067233792408929,3.024701818281358,3.211853506185719,0.49444539727305503,0.5747332001287718,0.006794648611855698,0.012854415015691543,0.0013191737996421967,0.0052285062013215835
