timestamps,pupil_size_left,pupil_size_right
59532.18798025286,,
59532.18964691968,,
59532.191313586496,,
59532.19298025332,,
59532.19464692014,,
59532.19631358696,,
59532.19798025378,,
59532.1996469206,,
59532.20131358742,,
59532.20298025424,,
59532.20464692106,,
59532.20631358788,,
59532.2079802547,,
59532.20964692152,,
59532.21131358834,,
59532.21298025516,,
59532.21464692198,,
59532.216313588804,,
59532.21798025562,,
59532.219646922444,,
59532.22131358926,,
59532.22298025608,,
59532.2246469229,,
59532.22631358972,,
59532.22798025654,,
59532.22964692336,,
59532.23131359018,,
59532.232980257,,
59532.23464692382,,
59532.23631359064,,
59532.23798025746,,
59532.23964692428,,
59532.241313591105,,
59532.24298025792,,
59532.244646924744,,
59532.24631359156,,
59532.247980258384,,
59532.2496469252,,
59532.25131359202,,
59532.25298025884,,
59532.25464692566,,
59532.25631359248,,
59532.2579802593,,
59532.25964692612,,
59532.26131359294,,
59532.262980259766,,
59532.26464692658,,
59532.266313593405,,
59532.26798026022,,
59532.269646927045,,
59532.27131359386,,
59532.272980260685,,
59532.2746469275,,
59532.276313594324,,
59532.27798026114,,
59532.279646927964,,
59532.28131359478,,
59532.2829802616,,
59532.28464692843,,
59532.28631359524,,
59532.28798026207,,
59532.28964692888,,
59532.291313595706,,
59532.29298026252,,
59532.294646929346,,
59532.29631359616,,
59532.297980262985,,
59532.2996469298,,
59532.301313596625,,
59532.30298026344,,
59532.304646930264,,
59532.30631359709,,
59532.307980263904,,
59532.30964693073,,
59532.31131359754,,
59532.31298026437,,
59532.31464693118,,
59532.31631359801,,
59532.31798026482,,
59532.319646931646,,
59532.32131359846,,
59532.322980265286,,
59532.3246469321,,
59532.326313598925,,
59532.32798026575,,
59532.329646932565,,
59532.33131359939,,
59532.332980266205,,
59532.33464693303,,
59532.336313599844,,
59532.33798026667,,
59532.339646933484,,
59532.34131360031,,
59532.34298026712,,
59532.34464693395,,
59532.34631360076,,
59532.34798026759,,
59532.34964693441,,
59532.351313601226,,
59532.35298026805,,
59532.354646934866,,
59532.35631360169,,
59532.357980268505,,
59532.35964693533,,
59532.361313602145,,
59532.36298026897,,
59532.364646935785,,
59532.36631360261,,
59532.367980269424,,
59532.36964693625,,
59532.37131360307,,
59532.37298026989,,
59532.37464693671,,
59532.37631360353,,
59532.37798027035,,
59532.37964693717,,
59532.38131360399,,
59532.382980270806,,
59532.38464693763,,
59532.386313604446,,
59532.38798027127,,
59532.389646938085,,
59532.39131360491,,
59532.39298027173,,
59532.39464693855,,
59532.39631360537,,
59532.39798027219,,
59532.39964693901,,
59532.40131360583,,
59532.40298027265,,
59532.40464693947,,
59532.40631360629,,
59532.40798027311,,
59532.40964693993,,
59532.411313606746,,
59532.41298027357,,
59532.41464694039,,
59532.41631360721,,
59532.41798027403,,
59532.41964694085,,
59532.42131360767,,
59532.42298027449,,
59532.42464694131,,
59532.42631360813,,
59532.42798027495,,
59532.42964694177,,
59532.43131360859,,
59532.43298027541,,
59532.43464694223,,
59532.43631360905,,
59532.43798027587,,
59532.439646942694,,
59532.44131360951,,
59532.44298027633,,
59532.44464694315,,
59532.44631360997,,
59532.44798027679,,
59532.44964694361,,
59532.45131361043,,
59532.45298027725,,
59532.45464694407,,
59532.45631361089,,
59532.45798027771,,
59532.45964694453,,
59532.461313611355,,
59532.46298027817,,
59532.464646944994,,
59532.46631361181,,
59532.467980278634,,
59532.46964694545,,
59532.471313612274,,
59532.47298027909,,
59532.47464694591,,
59532.47631361273,,
59532.47798027955,,
59532.47964694637,,
59532.48131361319,,
59532.482980280016,,
59532.48464694683,,
59532.486313613656,,
59532.48798028047,,
59532.489646947295,,
