timestamps,pupil_size_left,pupil_size_right
59299.13554458639,2.4632568,2.4482727
59299.13721125584,2.4698944,2.4573975
59299.13887792529,2.4598236,2.4395447
59299.14054459474,2.4661713,2.445984
59299.14221126419,2.475174,2.446579
59299.14387793364,2.4738617,2.4344788
59299.14554460309,2.4545746,2.4427643
59299.14721127254,2.475296,2.3495026
59299.14887794199,2.4542694,2.349701
59299.15054461144,2.4376678,2.3601837
59299.15221128089,2.4575653,2.3460693
59299.15387795034,2.4521942,2.4394379
59299.155544619796,2.4464874,2.4441223
59299.157211289246,,2.4376068
59299.1588779587,2.4470825,2.434555
59299.16054462815,,2.422943
59299.1622112976,,2.421936
59299.16387796705,2.452896,2.4233856
59299.1655446365,2.454483,2.4353027
59299.16721130595,2.4343262,2.4305725
59299.1688779754,2.459259,2.4292755
59299.17054464485,2.4326172,2.4147644
59299.1722113143,2.4423065,2.4092407
59299.17387798375,2.4387665,2.41687
59299.1755446532,2.4302368,2.4096222
59299.17721132265,2.4371796,2.4109192
59299.1788779921,2.440384,2.4055023
59299.18054466155,2.4336853,2.4137878
59299.182211331,2.4279327,2.4120178
59299.18387800045,2.572052,2.3235931
59299.185544669905,2.435089,2.3200378
59299.187211339355,2.4360352,2.3306885
59299.188878008805,2.4115753,2.3188934
59299.190544678255,2.4114838,2.3207092
59299.192211347705,2.4181519,2.405655
59299.193878017155,,2.4004517
59299.195544686605,2.4245148,2.4140778
59299.197211356055,2.4298859,2.3964386
59299.198878025505,2.5576324,2.3274536
59299.200544694955,2.4572449,2.325943
59299.202211364405,2.419098,2.324585
59299.203878033855,2.4185486,2.311386
59299.205544703305,2.403946,2.3156586
59299.207211372755,2.3896637,2.305359
59299.208878042205,2.5445251,2.3982544
59299.210544711656,2.402954,2.4106598
59299.212211381106,2.4087982,2.3940735
59299.213878050556,,2.3914032
59299.215544720006,2.3989868,2.3988953
59299.21721138946,2.4069672,2.4015656
59299.21887805891,2.4134064,2.3979797
59299.22054472836,2.4095001,2.3919373
59299.22221139781,2.4090576,2.3919983
59299.22387806726,2.4073334,2.2967987
59299.22554473671,2.4006042,2.3971558
59299.22721140616,2.4051666,2.3874817
59299.22887807561,,2.3900757
59299.23054474506,2.3944092,2.385147
59299.23221141451,2.3967438,2.3904114
59299.233878083964,2.3954315,2.3806305
59299.235544753414,2.3899689,2.381668
59299.237211422864,2.397171,2.3864746
59299.238878092314,2.3993378,2.3782806
59299.240544761764,2.3979492,2.2973785
59299.242211431214,2.4006348,2.2855835
59299.243878100664,2.3935852,2.3095093
59299.245544770114,2.3820953,2.2903748
59299.24721143957,2.3795624,2.283249
59299.24887810902,2.3716888,2.3033142
59299.25054477847,2.4345245,2.2890472
59299.25221144792,2.3813171,2.3694763
59299.25387811737,2.3874054,2.3851776
59299.25554478682,2.3838959,2.2818146
59299.25721145627,2.3827362,2.388733
59299.25887812572,2.390152,2.2997131
59299.26054479517,2.3789062,2.2943573
59299.26221146462,2.355545,2.2867737
59299.26387813407,2.3739014,2.2855072
59299.26554480352,2.5243988,2.293335
59299.26721147297,,2.2818146
59299.26887814242,2.5179138,2.2915955
59299.27054481187,2.3896484,2.2972717
59299.27221148132,2.3893585,2.2975311
59299.27387815077,2.5111237,2.2988586
59299.27554482022,2.383072,2.2911835
59299.27721148968,2.4300842,2.2782288
59299.27887815913,2.362564,2.2811584
59299.28054482858,2.3878937,2.2759857
59299.28221149803,2.373291,2.2808685
59299.28387816748,2.3797913,2.3655243
59299.28554483693,2.3841095,2.2754974
59299.28721150638,2.3687592,2.2900848
59299.28887817583,2.4268188,2.2904358
59299.29054484528,2.4276733,2.286209
59299.29221151473,2.4229279,2.284912
59299.29387818418,2.4210663,2.2787018
59299.29554485363,2.4110565,2.2800446
59299.29721152308,2.3618774,2.284546
59299.29887819253,2.3737793,2.2888489
59299.30054486198,2.379593,2.2780457
59299.30221153143,2.388916,2.2826385
59299.30387820088,,2.2715454
59299.30554487033,2.4040833,2.2771301
59299.30721153979,2.4189453,2.271164
59299.30887820924,2.4193726,2.2777405
59299.31054487869,2.4153595,2.284668
59299.31221154814,2.3638458,2.3581085
59299.31387821759,2.3688812,2.2783813
59299.31554488704,2.3791046,2.2819824
59299.31721155649,2.3688202,2.2845306
59299.31887822594,2.3656158,2.4329224
59299.32054489539,2.3707428,2.4304504
59299.32221156484,2.3794556,2.4339752
59299.32387823429,2.3717651,2.4509277
59299.32554490374,2.3714294,2.4349823
59299.32721157319,2.3666534,
59299.32887824264,2.376007,
59299.33054491209,2.372284,2.4468384
59299.33221158154,2.3702545,
59299.33387825099,2.3629913,
59299.33554492044,,
59299.33721158989,,
59299.33887825935,,
59299.3405449288,,
59299.34221159825,,2.377304
59299.3438782677,,2.2767181
59299.34554493715,,2.1966858
59299.3472116066,,
59299.34887827605,,1.8556976
59299.3505449455,,1.8184662
59299.35221161495,,
59299.3538782844,,
59299.35554495385,,
59299.3572116233,,
59299.35887829275,,
59299.3605449622,,
59299.36221163165,,
59299.3638783011,,
59299.36554497055,,
59299.36721164,,
59299.368878309455,,
59299.370544978905,,
59299.372211648355,,
59299.373878317805,,
59299.375544987255,,
59299.377211656705,,
59299.378878326155,,
59299.380544995605,,
59299.382211665055,,
59299.383878334505,,
59299.385545003955,,
59299.387211673406,,
59299.388878342856,,
59299.390545012306,,
59299.392211681756,,
59299.393878351206,,
59299.395545020656,,
59299.397211690106,,
59299.39887835956,,
59299.40054502901,,
59299.40221169846,,
59299.40387836791,,
59299.40554503736,,
59299.40721170681,,
59299.40887837626,,
59299.410545045714,,
59299.412211715164,,
59299.413878384614,,
59299.415545054064,,
59299.417211723514,,
