timestamps,pupil_size_left,pupil_size_right
2779.090229064639,,
2779.091895740364,,
2779.0935624160893,,
2779.0952290918144,,
2779.0968957675395,,
2779.0985624432647,,
2779.10022911899,,
2779.1018957947153,,
2779.10356247044,,
2779.1052291461656,,
2779.1068958218907,,
2779.108562497616,,
2779.110229173341,,
2779.111895849066,,
2779.113562524791,,
2779.1152292005163,,
2779.1168958762414,,
2779.1185625519665,,
2779.1202292276917,,
2779.1218959034168,,
2779.123562579142,,
2779.125229254867,,
2779.126895930592,,
2779.1285626063172,,
2779.1302292820424,,
2779.1318959577675,,
2779.1335626334926,,
2779.1352293092177,,
2779.1368959849433,,
2779.138562660668,,
2779.1402293363935,,
2779.1418960121187,,
2779.1435626878438,,
2779.145229363569,,
2779.146896039294,,
2779.148562715019,,
2779.1502293907442,,
2779.1518960664694,,
2779.1535627421945,,
2779.1552294179196,,
2779.1568960936447,,
2779.15856276937,,1.7844391
2779.160229445095,,1.7006226
2779.16189612082,,
2779.163562796545,,
2779.1652294722703,,
2779.1668961479954,,
2779.1685628237205,,
2779.1702294994457,,
2779.171896175171,,
2779.173562850896,,
2779.1752295266215,,
2779.176896202346,,
2779.1785628780717,,
2779.180229553797,,
2779.181896229522,,
2779.183562905247,,
2779.185229580972,,
2779.1868962566973,,
2779.1885629324224,,
2779.1902296081475,,
2779.1918962838727,,
2779.193562959598,,
2779.195229635323,,
2779.196896311048,,
2779.198562986773,,
2779.2002296624983,,
2779.2018963382234,,
2779.2035630139485,,
2779.2052296896736,,
2779.2068963653987,,
2779.208563041124,,
2779.2102297168494,,
2779.211896392574,,
2779.2135630682997,,
2779.215229744025,,
2779.21689641975,,
2779.218563095475,,
2779.2202297712,,
2779.2218964469253,,
2779.2235631226504,,
2779.2252297983755,,
2779.2268964741006,,
2779.2285631498257,,
2779.230229825551,,
2779.231896501276,,
2779.233563177001,,
2779.235229852726,,
2779.2368965284513,,
2779.2385632041764,,
2779.2402298799016,,
2779.2418965556267,,
2779.243563231352,,
2779.245229907077,,
2779.246896582802,,
2779.2485632585276,,
2779.2502299342523,,
2779.251896609978,,
2779.253563285703,,
2779.255229961428,,
2779.256896637153,,
2779.2585633128783,,
2779.2602299886034,,
2779.2618966643286,,
2779.2635633400537,,
2779.265230015779,,
2779.266896691504,,
2779.268563367229,,
2779.270230042954,,
2779.2718967186793,,
2779.2735633944044,,
2779.2752300701295,,
2779.2768967458546,,
2779.2785634215797,,
2779.280230097305,,
2779.28189677303,,
2779.2835634487556,,
2779.28523012448,,
2779.286896800206,,
2779.288563475931,,
2779.290230151656,,
2779.291896827381,,
2779.2935635031063,,
2779.2952301788314,,
2779.2968968545565,,
2779.2985635302816,,
2779.3002302060067,,
2779.301896881732,,
2779.303563557457,,
2779.305230233182,,
2779.306896908907,,
2779.3085635846323,,
2779.3102302603575,,
2779.3118969360826,,
2779.3135636118077,,
2779.315230287533,,1.7805481
2779.316896963258,,1.8394928
2779.318563638983,,1.747818
2779.320230314708,,
2779.3218969904337,,
2779.3235636661584,,
2779.325230341884,,
2779.326897017609,,
2779.328563693334,,
2779.3302303690593,,
2779.3318970447845,,
2779.3335637205096,,
2779.3352303962347,,
2779.33689707196,,
2779.338563747685,,
2779.34023042341,,
2779.341897099135,,
2779.3435637748603,,
2779.3452304505854,,
2779.3468971263105,,1.7171173
2779.3485638020356,,
2779.3502304777608,,
2779.351897153486,,
2779.353563829211,,
2779.355230504936,,
2779.3568971806612,,
2779.3585638563864,,1.7897034
2779.360230532112,,1.7733307
2779.361897207837,,
2779.363563883562,,
2779.3652305592873,,
2779.3668972350124,,
2779.3685639107375,,
2779.3702305864626,,
2779.3718972621878,,
2779.373563937913,,
2779.375230613638,,
2779.376897289363,,
2779.3785639650882,,
2779.3802306408134,,
2779.3818973165385,,
2779.3835639922636,,
2779.3852306679887,,
2779.386897343714,,
2779.388564019439,,
2779.390230695164,,
2779.391897370889,,
2779.3935640466143,,
2779.39523072234,,
2779.3968973980645,,
2779.39856407379,,
2779.4002307495152,,
2779.4018974252403,,
2779.4035641009655,,
2779.4052307766906,,
2779.4068974524157,,
2779.408564128141,,
2779.410230803866,,
2779.411897479591,,
2779.413564155316,,
2779.4152308310413,,
2779.4168975067664,,
2779.4185641824915,,1.716156
2779.4202308582167,,
2779.421897533942,,
2779.423564209667,,
2779.425230885392,,
2779.426897561117,,
2779.4285642368422,,
2779.4302309125674,,
2779.4318975882925,,
2779.433564264018,,
2779.4352309397427,,
2779.4368976154683,,
2779.4385642911934,,
2779.4402309669185,,
2779.4418976426437,,
2779.4435643183688,,
2779.445230994094,,
2779.446897669819,,
2779.448564345544,,
2779.4502310212692,,
2779.4518976969944,,
2779.4535643727195,,
2779.4552310484446,,
2779.4568977241697,,
2779.458564399895,,
2779.46023107562,,
2779.461897751345,,
2779.46356442707,,
2779.4652311027953,,
2779.4668977785204,,
2779.468564454246,,
2779.4702311299707,,
2779.4718978056962,,
2779.4735644814214,,
2779.4752311571465,,
2779.4768978328716,,
2779.4785645085967,,
2779.480231184322,,
2779.481897860047,,
2779.483564535772,,
2779.485231211497,,
2779.4868978872223,,
2779.4885645629474,,1.8010101
2779.4902312386725,,
2779.4918979143977,,
2779.493564590123,,
2779.495231265848,,
2779.496897941573,,
2779.498564617298,,
2779.5002312930233,,
2779.5018979687484,,1.80719
2779.5035646444735,,
2779.5052313201986,,
2779.506897995924,,
2779.508564671649,,
2779.5102313473744,,1.8712769
2779.5118980230995,,
2779.5135646988247,,
2779.51523137455,,
2779.516898050275,,
2779.518564726,,
2779.520231401725,,
2779.5218980774503,,
2779.5235647531754,,
2779.5252314289005,,
2779.5268981046256,,
2779.5285647803507,,1.794632
2779.530231456076,,1.829071
2779.531898131801,,
2779.533564807526,,
2779.535231483251,,
2779.5368981589763,,
2779.5385648347014,,
2779.5402315104266,,
2779.541898186152,,
2779.543564861877,,
2779.5452315376024,,
2779.5468982133275,,1.8865967
2779.5485648890526,,
2779.5502315647777,,
2779.551898240503,,
2779.553564916228,,
2779.555231591953,,
2779.556898267678,,1.8007965
2779.5585649434033,,
2779.5602316191284,,
2779.5618982948536,,
2779.5635649705787,,
2779.565231646304,,
2779.566898322029,,
2779.568564997754,,
